Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
53033024500,4652.477001,4533,97431.97,12056,259130.78,539,11585.23,481,10338.58,58,1246.65,15,322.41,6,128.96
53033024601,4515.346001,3665,81167.64,9964,220669.69,462,10231.77,418,9257.32,44,974.45,6,132.88,1,22.15
53033024602,3749.424001,2999,79985.62,8282,220887.26,384,10241.57,338,9014.72,46,1226.86,2,53.34,1,26.67
53033024701,3838.705,2579,67184.12,5751,149816.15,446,11618.5,423,11019.34,23,599.16,10,260.5,1,26.05
53033024702,7881.714001,5213,66140.44,12698,161107.09,986,12509.97,919,11659.9,67,850.07,22,279.13,4,50.75
53033024800,6273.264,3900,62168.59,8425,134300.1,678,10807.77,655,10441.14,23,366.64,22,350.69,6,95.64
53033024901,5284.691001,3643,68934.97,8303,157114.2,445,8420.55,431,8155.63,14,264.92,8,151.38,2,37.85
53033024902,4072.038,2640,64832.4,6089,149532,423,10387.92,405,9945.88,18,442.04,8,196.46,1,24.56
53033024903,7263.887,4576,62996.57,10653,146657.02,538,7406.5,514,7076.1,24,330.4,5,68.83,1,13.77
53033025001,5425.294001,3759,69286.57,8842,162977.34,546,10063.97,514,9474.14,32,589.83,10,184.32,3,55.3
53033025003,7252.528,5004,68996.63,11693,161226.54,720,9927.57,667,9196.79,53,730.78,11,151.67,2,27.58
53033025005,6056.74,4170,68848.92,9722,160515.39,570,9411,540,8915.69,30,495.32,9,148.59,2,33.02
53033025006,6642.793001,4555,68570.55,10728,161498.33,559,8415.14,516,7767.82,43,647.32,11,165.59,3,45.16
53033025101,6266.496999,3899,62219.77,8606,137333.51,936,14936.57,856,13659.94,80,1276.63,24,382.99,2,31.92
53033025102,8781.062999,6263,71323.94,14354,163465.4,1448,16490.03,1313,14952.63,135,1537.4,33,375.81,4,45.55
53033025200,8688.915,6275,72218.45,14582,167823.03,1670,19219.89,1530,17608.64,140,1611.25,55,632.99,10,115.09
53033025301,7025.062,5590,79572.25,13404,190802.59,1258,17907.32,1160,16512.31,98,1395.01,23,327.4,0,0
53033025302,5281.152001,4853,91892.83,12713,240723.99,836,15829.88,786,14883.12,50,946.76,49,927.83,12,227.22
53033025400,8255.092999,5009,60677.69,11285,136703.49,1542,18679.38,1433,17358.98,109,1320.4,48,581.46,6,72.68
53033025500,5171.309999,3446,66636.89,7750,149865.31,1051,20323.67,947,18312.57,104,2011.1,32,618.8,8,154.7
53033025601,5491.019,4781,87069.45,10284,187287.64,984,17920.17,917,16700,67,1220.17,25,455.29,2,36.42
53033025602,6491.556,4593,70753.45,10739,165430.29,1106,17037.52,944,14541.97,162,2495.55,14,215.66,5,77.02
53033025701,6447.585001,4287,66490.01,10362,160711.34,1065,16517.81,986,15292.55,79,1225.26,41,635.9,10,155.1
